Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
587,283.773135,-30.355717,283.773012,-30.355865,120,939,120.381,938.469,1,+327.303,1.0000,+27.8861,D.N.,+13.6042,+0.0925,0,F,435.749512,435.563594,435.737182,435.618469,435.738348,0.000000,1.008554,0.952631,5,10,10,0,15,20,315.84,0.00,553,3.45,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
588,283.717766,-30.356565,283.717669,-30.356536,292,936,292.302,936.105,1,+504.713,1.0000,+29.9742,D.N.,+13.1340,+0.0645,0,F,435.499985,435.250150,435.557227,435.644257,435.558197,0.000000,0.919798,0.892222,5,10,10,0,15,20,315.84,0.00,558,15.56,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
589,283.674631,-30.354615,283.674446,-30.354731,426,943,426.572,942.582,1,+90.4203,1.0000,+24.7767,D.N.,+15.0009,+0.2975,0,F,435.526596,434.733205,435.683890,435.496521,435.685529,0.000000,1.196281,1.026062,5,10,10,0,15,20,315.84,0.00,550,2.90,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
590,283.707143,-30.352954,283.707347,-30.353058,325,949,324.367,948.625,1,+208.201,1.0000,+29.1132,D.N.,+14.0954,+0.1518,0,F,435.608688,435.266029,435.720613,435.485352,435.722338,0.000000,1.227079,1.135482,5,10,10,0,15,20,315.84,0.00,554,2.91,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
591,283.802748,-30.352644,283.803581,-30.349921,28,950,25.404,959.800,1,+464.509,1.0000,+34.9726,D.N.,+13.2241,+0.0817,0,F,435.839127,436.029250,435.874117,435.651215,435.875991,0.000000,1.279239,1.234353,5,10,10,0,15,20,315.84,0.00,548,15.30,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
592,283.802102,-30.351256,283.803548,-30.349921,30,955,25.505,959.801,1,+461.113,1.0000,+34.5117,D.N.,+13.2321,+0.0813,0,F,435.838669,436.029079,435.876513,435.661926,435.878366,0.000000,1.272045,1.211639,5,10,10,0,15,20,315.84,0.00,550,3.09,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
593,283.697808,-30.352120,283.697992,-30.352035,354,952,353.429,952.307,1,+247.472,1.0000,+25.6187,D.N.,+13.9078,+0.1124,0,F,435.556381,435.637590,435.534398,435.477112,435.535532,0.000000,0.994828,0.908583,5,10,10,0,15,20,315.84,0.00,556,3.13,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
594,283.777639,-30.351826,283.777655,-30.351774,106,953,105.949,953.187,1,+120.772,1.0000,+25.3522,D.N.,+14.6867,+0.2279,0,F,435.604706,435.261128,435.780380,435.629700,435.781854,0.000000,1.134333,1.025600,5,10,10,0,15,20,315.84,0.00,553,3.33,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
595,283.747702,-30.351838,283.747619,-30.351679,199,953,199.259,953.570,1,+816.100,1.0000,+37.4606,D.N.,+12.6122,+0.0498,0,F,435.797028,436.319209,435.921203,435.580017,435.923013,0.000000,1.257248,1.086731,5,10,10,0,15,20,315.84,0.00,550,3.65,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
596,283.732251,-30.350452,283.732345,-30.350535,247,958,246.709,957.700,1,+1013.16,1.0000,+37.5503,D.N.,+12.3774,+0.0402,0,F,435.807098,435.781816,435.917268,435.890198,435.918416,0.000000,1.001276,0.891622,5,10,10,0,15,20,315.84,0.00,544,3.30,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
597,283.680426,-30.350728,283.680711,-30.350573,408,957,407.115,957.558,1,+223.857,1.0000,+26.0449,D.N.,+14.0167,+0.1263,0,F,435.652405,435.817890,435.629355,435.479065,435.630567,0.000000,1.028659,0.957635,5,10,10,0,15,20,315.84,0.00,555,4.24,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
