Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
956,268.398662,-34.750487,268.398145,-34.751749,440,835,441.528,830.454,1,+5178.72,1.0000,+165.335,D.N.,+11.6618,+0.0347,0,F,157.842834,156.256430,160.982055,154.211227,161.259881,0.000000,9.470643,6.655332,5,10,10,0,15,20,315.84,0.00,541,16.69,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
957,268.511580,-34.751029,268.511523,-34.750950,106,833,106.170,833.281,1,+4767.07,1.0000,+155.665,D.N.,+11.7518,+0.0355,0,F,156.335983,153.547496,159.877004,154.775009,160.223921,0.000000,10.547544,6.256760,5,10,10,0,15,20,315.84,0.00,550,3.01,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
958,268.387844,-34.749927,268.387678,-34.749913,472,837,472.490,837.051,1,+54926.5,1.0000,+344.107,D.N.,+9.0979,+0.0068,0,F,158.842392,156.263785,177.130255,154.565216,198.020497,0.000000,88.607218,11.303229,5,10,10,0,15,20,315.84,0.00,551,2.92,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
959,268.386491,-34.751037,268.387648,-34.749913,476,833,472.579,837.051,1,+54895.9,1.0000,+349.718,D.N.,+9.0985,+0.0069,0,F,158.800385,155.411174,177.165574,154.699951,198.065953,0.000000,88.638255,11.647299,5,10,10,0,15,20,315.84,0.00,551,2.04,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
960,268.476081,-34.749655,268.478215,-34.752657,211,838,204.693,827.190,1,+408421,1.0000,+679.372,D.N.,+6.9196,+0.0018,0,F,171.429962,164.931561,176.378424,154.870178,177.507996,0.000000,20.011796,10.326407,5,10,10,0,15,20,315.84,0.00,547,9.56,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
961,268.444641,-34.750494,268.444664,-34.750403,304,835,303.932,835.327,1,+4094.31,1.0000,+166.444,D.N.,+11.9169,+0.0441,0,F,156.910370,154.442623,164.417176,154.571304,166.997753,0.000000,29.271092,6.893101,5,10,10,0,15,20,315.84,0.00,551,13.62,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
962,268.409819,-34.750768,268.409575,-34.750419,407,834,407.721,835.257,1,+5469.91,1.0000,+156.660,D.N.,+11.6024,+0.0311,0,F,154.962372,152.336385,158.660326,153.831116,159.081186,0.000000,11.574522,6.187275,5,10,10,0,15,20,315.84,0.00,547,3.26,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
963,268.408129,-34.749656,268.409583,-34.750418,412,838,407.697,835.259,1,+5452.00,1.0000,+156.603,D.N.,+11.6060,+0.0312,0,F,154.962372,152.336385,158.660326,153.831223,159.081186,0.000000,11.574522,6.187275,5,10,10,0,15,20,315.84,0.00,547,3.21,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
964,268.406100,-34.749656,268.405869,-34.748630,418,838,418.686,841.693,1,+6431.49,1.0000,+184.107,D.N.,+11.4266,+0.0311,0,F,156.304092,153.135921,160.403985,153.901779,160.843403,0.000000,11.891984,7.429616,5,10,10,0,15,20,315.84,0.00,549,2.37,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
965,268.406101,-34.748267,268.405871,-34.748626,418,843,418.678,841.708,1,+6454.19,1.0000,+184.169,D.N.,+11.4228,+0.0310,0,F,156.304092,153.135921,160.403985,153.824677,160.843403,0.000000,11.891984,7.429616,5,10,10,0,15,20,315.84,0.00,549,3.29,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
